kode_kasus,kategori,kasus,penyelesaian,aturan
KS-001,Klaim,"Klaim Jaminan Hari Tua (JHT) diajukan sebelum mencapai usia pensiun namun pegawai telah diberhentikan dengan hormat sebagai ASN.","Petugas memverifikasi SK Pemberhentian Dengan Hormat dari BKN/PPK dan memastikan tidak ada tanggungan utang iuran. Proses pembayaran dapat dicairkan melalui transfer langsung ke rekening bank terdaftar dalam 3 hari kerja.","PP No. 70 Tahun 2015 Pasal 9 & Perdir Taspen No. 03/2021"
KS-002,Kepesertaan,"NIK peserta tidak valid atau tidak sinkron dengan data Dukcapil saat pendaftaran aplikasi Taspen Mobile / Smart.","Mengarahkan peserta melakukan update data kependudukan ke Disdukcapil setempat atau melampirkan e-KTP dan Kartu Keluarga terbaru ke customer service untuk dilakukan sinkronisasi data NIK pada database induk.","Permendagri No. 102 Tahun 2019 & SOP Layanan Kepesertaan Taspen"
KS-003,Pensiun,"Keterlambatan pembayaran pensiun pertama bagi ASN yang baru purna tugas karena berkas Klim Otomatis belum lengkap.","Lakukan pengecekan kelengkapan berkas: SK Pensiun, Surat Pengesahan Tanda Bukti Diri (SPTB), Pasfoto, dan Buku Rekening. Jika data belum terkirim dari BKD/BKPSDM instansi asal, hubungi PIC instansi untuk unggah ulang melalui aplikasi SIMGaji / e-Klim.","UU No. 11 Tahun 1969 & SOP Pembayaran Hak Pensiun Pertama"
KS-004,Teknis,"Gagal otentikasi biometrik wajah pada aplikasi Andal Taspen Smart oleh pensiunan lanjut usia atau mengalami sakit stroke/cacat.","1. Coba lakukan otentikasi di tempat dengan pencahayaan terang tanpa kacamata/masker. 2. Jika tetap gagal karena kondisi fisik/kesehatan, keluarga dapat mengajukan Layanan Kunjungan Nasabah (Layanan Proaktif) ke kantor cabang atau melampirkan Surat Keterangan Sakit dari Dokter/Rumah Sakit.","Surat Edaran Direksi PT TASPEN (Persero) No. SE-05/DIR/2022 tentang Tata Cara Otentikasi"
KS-005,Klaim,"Klaim Jaminan Kematian (JKM) untuk ASN yang meninggal dunia dalam masa tugas aktif.","Ahli waris yang sah (suami/istri/anak) melampirkan Surat Kematian dari RS/Kelurahan, SK Pengangkatan/Pangkat terakhir, Surat Keterangan Ahli Waris dari Kelurahan/Kecamatan, dan rincian biaya pemakaman (jika ada). Pembayaran santunan JKM dan Uang Duka Wafat (UDW) diproses maksimal 1x24 jam sejak berkas lengkap.","PP No. 66 Tahun 2017 tentang Jaminan Kecelakaan Kerja dan Jaminan Kematian bagi ASN"
KS-006,Mutasi,"Peserta pensiun pindah domisili antar provinsi dan ingin memindahkan kantor bayar pensiun (Bank / Pos).","Peserta mengisi Formulir Permohonan Mutasi Kantor Bayar, melampirkan e-KTP alamat baru, buku tabungan bank di lokasi baru, dan SK Pensiun asli untuk legalisir mutasi. Pengajuan diproses pada periode cut-off tanggal 20 setiap bulan agar pembayaran bulan berikutnya langsung berpindah.","Petunjuk Teknis Operasional Pelayanan Taspen No. JTO-12/2020"
KS-007,Klaim,"Klaim Asuransi Dwiguna / Tabungan Hari Tua (THT) ganda akibat pengangkatan ganda atau perubahan NIP lama ke NIP baru.","Petugas rekonsiliasi data melakukan merger master record peserta berdasarkan NIK dan riwayat pembayaran iuran THT, kemudian menghitung selisih hak manfaat untuk dibayarkan sekaligus.","SE Direktur Operasional Taspen No. SE-02/DO/2021"
KS-008,Administrasi,"Permohonan penghentian pembayaran pensiun janda/duda karena penerima telah menikah kembali.","Ahli waris atau keluarga melaporkan dengan melampirkan Akta Nikah baru dan Surat Pernyataan Menikah Lagi. Pembayaran dihentikan terhitung mulai bulan berikutnya setelah tanggal pernikahan, dan jika ada kelebihan bayar, dihitung kewajiban pengembalian kas negara.","UU No. 11 Tahun 1969 Pasal 17 Ayat 2"
KS-009,Pensiun,"Pengalihan pembayaran pensiun kepada anak yatim/piatu karena pensiunan janda/duda meninggal dunia.","Wali sah dari anak yatim/piatu (usia di bawah 25 tahun, belum menikah, belum bekerja) mengajukan formulir pengalihan hak pensiun dilengkapi Akta Kematian orang tua, Akta Kelahiran anak, Surat Keterangan Kuliah/Sekolah, dan Surat Keterangan Belum Menikah dari Kelurahan.","PP No. 18 Tahun 2019 & UU No. 11 Tahun 1969"
KS-010,Teknis,"Perbedaan nominal transfer gaji pensiun bulanan akibat pemotongan pinjaman kredit perbankan mitra Taspen.","Verifikasi struk rincian potongan melalui menu e-Dapem atau SP2D Taspen. Jika terdapat kekeliruan pemotongan pihak ketiga (koperasi/bank mitra), terbitkan Surat Keterangan Rincian Pembayaran Pensiun (SKRPP) untuk dibawa peserta ke bank mitra terkait.","PKS PT Taspen dengan Bank Mitra Penyalur Dana Pensiun 2023"
KS-011,Klaim,"Jaminan Kecelakaan Kerja (JKK) pada saat perjalanan dinas kedinasan / tugas luar kantor.","Melampirkan Surat Perintah Tugas (SPT), Kronologis Kejadian yang ditandatangani atasan langsung minimal eselon II, Laporan Kepolisian (jika laka lantas), serta kuitansi resmi pengobatan/perawatan dari rumah sakit. Klaim penggantian biaya pengobatan dicairkan sesuai plafon PP 70/2015.","PP No. 70 Tahun 2015 jo. PP No. 66 Tahun 2017"
KS-012,Administrasi,"Penerbitan ulang Kartu Peserta Taspen / Smart Card Digital yang hilang atau rusak.","Peserta dapat mengakses kartu digital mandiri melalui aplikasi Taspen Mobile atau mengajukan cetak ulang kartu fisik ke Kantor Cabang dengan menunjukkan Surat Kehilangan dari Kepolisian dan e-KTP.","SOP Pelayanan Kantor Cabang PT TASPEN (Persero)"
UU11-001,Pensiun,"Syarat usia minimum dan masa kerja untuk memperoleh hak pensiun pegawai biasa yang diberhentikan dengan hormat.","Berdasarkan UU No. 11 Tahun 1969 Pasal 9 Ayat (1) huruf a: Pegawai wajib diberhentikan dengan hormat, telah berusia sekurang-kurangnya 50 tahun, dan memiliki masa kerja untuk pensiun sekurang-kurangnya 20 tahun.","UU No. 11 Tahun 1969 Pasal 9 Ayat (1) Huruf a"
UU11-002,Pensiun,"Hak pensiun pegawai yang mengalami kecelakaan dinas / cacat jasmani atau rohani karena menjalankan tugas kewajiban.","Berdasarkan Pasal 9 Ayat (1) huruf b jo. Pasal 11 Ayat (1) huruf b: Pegawai langsung berhak atas pensiun sebesar 75% tanpa batas usia 50 tahun atau masa kerja 20 tahun, disertai tunjangan kecacatan dinas.","UU No. 11 Tahun 1969 Pasal 9 Ayat (1) Huruf b jo. Pasal 11"
UU11-003,Pensiun,"Hak pensiun pegawai yang dinyatakan uzur/sakit permanen BUKAN karena menjalankan kewajiban dinas.","Berdasarkan Pasal 9 Ayat (1) huruf c: Berhak atas pensiun pegawai apabila telah memiliki masa kerja sekurang-kurangnya 4 (empat) tahun berdasarkan keputusan Tim Penguji Kesehatan resmi.","UU No. 11 Tahun 1969 Pasal 9 Ayat (1) Huruf c"
UU11-004,Pensiun,"Pegawai diberhentikan karena perampingan organisasi / penertiban aparatur negara sebelum mencapai usia 50 tahun.","Berdasarkan Pasal 9 Ayat (2) & Ayat (4): Pegawai dengan masa kerja minimal 10 tahun tetap berhak pensiun, namun pembayaran baru dimulai pada bulan berikutnya setelah pegawai mencapai usia 50 tahun.","UU No. 11 Tahun 1969 Pasal 9 Ayat (2) & Ayat (4)"
