No,Kasus / Permasalahan,Tindak Lanjut Penyelesaian,Peraturan
1,PNS yang diberhentikan sementara karena kasus Tipikor dan memasuki masa BUP,"-Apabila peserta yang sudah memasuki BUP maka Taspen wajib membayarkan pensiun sebesar 75% sambil menunggu keputusan INKRAH. -Jika putusan INKRAH menyatakan PNS tersebut dijatuhi hukuman dengan kasus PTDH maka terhadap pembayaran pensiun sebesar 75% bukan menjadi hutang negara. Namun sebaliknya, jika INKRAH tersebut menyatakan tidak bersalah, maka Taspen membayarkan 25%.",PP 11 tahun 2017 SE BKN No 5 Tahun 2021
2,Perhitungan Santunan Sementara Tidak Mampu Bekerja (SSTMB) an Ardi nugraha Prasnasetia Nip198604242020121005 menggunakan perhitungan n/23 x gapok bukan 100% x gaji pokok,"Berdasarkan SE 12 tahu 2021 disebutkan ""santunan sementara akibat kecelakaan kerja diberikan sebesar 100% x gaji pokok terakhir saat kejadian secara proporsional atau setiap bulan"" Santunan tidak mampu bekerja sebagai pengganti biaya potongan gaji karena sakit",
3,Pembayaran Pensiun Duda Pertama yang telah menikah secara siri,"UU 1 Tahun 1974 Kompilasi hukum islam SRT-23/DIR.2/042016 Mendasari hal tersebut diatas, pembayaran duda tidak dapat dibayarkan Dilakukan penyetopan sementara, dilakukan OTS, dan dibuatkan Berita Acara diketahui Ketua RT, RW, dan Camat.",Surat Pak Ermanza
4,Beasiswa bagi anak yang dilahirkan sebelum penetapan tanggal pernikahan dari KUA,Berdasarkan SEB-/DIR/2018 dan SE-12/DIR/2021 tidak menyebutkan anak harus dilahirkan setelah pernikahan. Dalam ketentuan umum disebutkan anak adalah anak kandung atau anak yang disahkan menjadi anak pemegang polis berdasarkan peraturan perundang-undangan yang berlaku,Perlu dikoordinasikan dengan BKN
5,"1. Pemalsuan surat keterangan kematian agar utang pada bank menjadi LUNAS 2.Uang yang diterima tidak sesuai dengan jumlah pinjaman, sehingga pensiunan menerima sisa uang pensiun hanya ratusan ribu. 3. Kantor Cabang Bank sudah ditutup, mau melunasi susah, karena Kantor Cabang Bank jauh dari tempat tinggalnya 4. Pelunasan pada Bank dihitung sampai dengan cicilan akhir, tidak ada pengurangan","1. Kerjasama pensiunan dengan fronting. Menurut informasi saat ini fronting tersebut sudah meninggal dunia 2. Oknum fronting tidak bertanggung jawab (sebagian uang pinjaman diambil fronting). 3. Sudah disampaikan ke Bank BUKOPIN, menurut informasi sudah dihub. Bank tetapi ybs belum merasa dihub. 4. Informasi dari Pensiunan yang mau melunasi",TAKE OUT
6,"Skep pensiun yang mencantumkan nama anak tiri / anak angkat, tapi pada kolom keterangan dicantumkan nama orang tuanya (peserta dan istri peserta) diakui sebagai anak kandung","- Anak angkat hanya berhak mendapatkan tunjangan sebanyak 1 orang, yang diangkat tidak boleh segaris dan sedarah, peserta harus dalam kondisi menikah. - Nama anak angkat tidak boleh dicantumkan dalam SK pensiun - Koordinasikan dengan BKN untuk ralat SK",PMK 70 tahun 2018
7,"SKS yang diterbitkan oleh sekolah kedinasan, (STAN, SPTDN, SSN, dll) peserta masih menghendaki untuk dibayarkan tunjangan anaknya",-Selama anak peserta menjalani ikatan dinas dan dibiayai melalui APBN maka tunjangan tidak diberikan dengan dibuktikan dengan surat keterangan sekolah kedinasan.,
8,"Permohonan dari peserta, agar tidak dibayarkan tunjangan istri dan anak dengan alasan bahwa istri dan anaknya telah meninggalkan rumah sudah lebih dari 1 tahun ( sebelum peserta pensiun), akan tetapi di Skep dan SKPP tercantum nama istri dan anaknya. Karena dalam agamanya tidak bisa dilakukan perceraian, sehingga tidak bisa dibuatkan akte cerai. Peserta tidak mau untuk mengurus perceraian ke Pengadilan, dengan alasan pengeluaran biaya dan waktu. pada saat peserta meninggal dunia, istri mengajukan hak uang dukanya, dan menuntut pembayaran pensiun jandanya.","Taspen hanya membayarkan kepada ahli waris yang berhak sesuai dengan ketentuan yang berlaku. Ahli waris adalah peserta, istri/suami sah, dan anak kandung.",
9,"Nama istri ke II dan anak istri ke II masuk pada daftar keluarga di Skep pensiun, setelah peserta meninggal dunia, ada pengakuan dari istri I yang telah dicerai, dan dirujuk dan dinikahi kembali secara sah (surat nikah ada) meminta hak pembayaran pensiun jandanya utuh. Begitu pula untuk istri ke II juga meminta hak pensiun jandanya dibayar utuh, dikarenakan nama istri ke II tercamtum pada Skep pensiun, dan di Skep tidak ada pembagian hak dibagi 2.","Jika terdapat anak dari istri pertama secara hukum masih berhak mendapatkan pensiun, sedangkan pada SK pensiun tidak tercantum nama anak dari istri pertama. Maka disusulkan untuk ralat SK dengan hak dibagi dua.",
10,"Permohonan Uang Duka wafat punah yang diajukan oleh ahli waris lain (saudara kandung peserta) berkas pengajuan lengkap dan diproses pembayarannya ke pemohon. (di Skep tidak tercantum data keluarga (anak), termasuk pada data Taspen, Berselang beberapa tahun kemudian, ada anak kandungnya mengajukan UDW, dan sesuai data Dukcapil bahwa pemohon benar merupakan anak kandung dari peserta.","-Pembayaran UDW dibayarkan kepada anak kandung, namun apabila tidak ada anak kandung dibayarkan kepada ahli waris yang merawat dari sakit hingga meninggal.",
11,"Permintaan konfirmasi riwayat klaim ex PNS Timor Leste -Bapak Yakobus Pati Notas 13176588500 No.KPE : 196507281988031010 merupakan Pegawai Negeri Sipil (PNS) pada Dinas P dan K Provinsi Nusa Tenggara Timur yang pada saat berpisahnya Timor Leste dari Negara Kesatuan Republik Indonesia, yang bersangkutan Menolak Menjadi Warga Negara Indonesia (WNI) melalui surat pernyataan yang ditulis dan ditandatangani oleh yang bersangkutan, dan terbit Surat Kepeutusan Kepala Badan Kepegawaian Negara Nomor : 02444/13/KEP/BHT/TT/2002 tanggal 15 Februari 2002 tentang Pemberhentian Sdr. Jakobus Pati NIP. 131765885 sebagai Pegawai Negeri Sipil tanpa Hak Pensiun, sehingga hak yang bersangkutan sudah diproses dan dibayarkan pada tanggal 22 Oktober 2002","-Setelah dilakukan penelusuran klaim dengan database pusat dan investigasi yang dilakukan oleh kantor cabang dipastikan bahwa klaim tersebut palsu sehingga dibutuhkan langkah-langkah berikut: -Untuk proses pembatalan klim, agar Kantor Cabang Ende melakukan sesuai prosedur dan ketentuan yang berlaku pada aplikasi TDES -Kedepannya Kantor Cabang Ende agar lebih berhati-hati dan teliti terhadap kejadian serupa dimana dalam Daftar Gaji Aktif dibayarkan tetapi pada Database TASPEN sudah PMK, segera lakukan konfirmasi ke instansi sehingga penyelesaiannya tidak berlarut-larut.",
